risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,Global,1996,216760.09482857422,52077.06644370027,392008.34680749907,5.310710108647057,1.2793670136062714,9.573640607885583,97.98847475600331,23.419920952723604,176.65630748506692,216760.09482857425,2.9103830456733704e-11,4283958.494515703,point_estimate_sum_from_age_sex_only,5807014948.029641
ozone,copd,Global,1997,231775.08748918617,56958.177938910034,419634.88123539696,5.54208744250544,1.364252858686359,10.01932649089729,102.05086922726832,24.976054881231473,184.08942216856298,231775.08748918623,5.820766091346741e-11,4566633.776395156,point_estimate_sum_from_age_sex_only,5882087828.015764
ozone,copd,Global,1998,241590.85049337248,60117.448185237925,431812.7647701276,5.634105742689252,1.4001447315170321,10.05799886396197,103.56975080469618,25.61481737544643,185.45263091214824,241590.85049337256,8.731149137020111e-11,4745311.076513431,point_estimate_sum_from_age_sex_only,5957161256.516755
ozone,copd,Global,1999,261013.15633556628,64492.92163525945,460366.2411680337,5.930265768808114,1.4631695069869592,10.438481122551833,108.89410798436707,26.98143456479114,193.47981919321265,261013.15633556637,8.731149137020111e-11,5111096.358336203,point_estimate_sum_from_age_sex_only,6032316614.496127
ozone,copd,Global,2000,261270.69227147195,62656.06099252381,461153.7543340863,5.786513970230849,1.3926531122624706,10.214532393797741,105.94181406849972,25.329196624237902,187.4898801033619,261270.6922714719,-5.820766091346741e-11,5091603.809702081,point_estimate_sum_from_age_sex_only,6108324665.823928
ozone,copd,Global,2001,270374.0139751773,63867.76367876068,478571.10168146214,5.835840159655713,1.3849866628163883,10.27412080152366,106.29830461604648,25.002961669413356,188.73103803314018,270374.01397517725,-5.820766091346741e-11,5231936.4876157,point_estimate_sum_from_age_sex_only,6185847765.298689
ozone,copd,Global,2002,279451.0003220397,66593.56785515684,493446.59811194293,5.875080097118863,1.4044139412340897,10.423501404973488,106.24863714129354,25.23716253029598,186.0812131244711,279451.0003220395,-2.3283064365386963e-10,5359728.920765258,point_estimate_sum_from_age_sex_only,6264778165.123593
ozone,copd,Global,2003,302410.00182529946,72722.71672712553,531026.5794536822,6.191202685989362,1.4956560989274368,10.934015956396873,111.33832824664162,26.603907452378106,194.108592982728,302410.0018252994,-5.820766091346741e-11,5756673.0010616295,point_estimate_sum_from_age_sex_only,6345489904.801605
ozone,copd,Global,2004,318022.9391970009,77734.81061002874,559959.1060227742,6.358214580768546,1.5631090331833033,11.15080606675858,113.42926901732581,27.439693401890615,196.21423702802656,318022.93919700093,5.820766091346741e-11,6003045.364972404,point_estimate_sum_from_age_sex_only,6427690231.15512
ozone,copd,Global,2005,327938.226680629,79134.08174509872,580284.4724041325,6.355275400200163,1.5396631146864355,11.288119757732796,113.23495358464763,27.108525304493778,196.9864258708036,327938.2266806287,-2.9103830456733704e-10,6158509.800810586,point_estimate_sum_from_age_sex_only,6512403441.711815
ozone,copd,Global,2006,344450.7655225625,83127.4547659551,601776.4725145022,6.48905661668811,1.5699966048307197,11.381510965100953,115.28199256355971,27.726602278213445,199.42674858018347,344450.76552256284,3.4924596548080444e-10,6436478.248238797,point_estimate_sum_from_age_sex_only,6598509740.708002
ozone,copd,Global,2007,363353.2017106236,88229.53979507319,623235.4440629798,6.634945191490409,1.6140015513854573,11.4219688079042,117.77306707923692,28.439165404306028,200.93537933469923,363353.2017106234,-1.7462298274040222e-10,6765155.169586462,point_estimate_sum_from_age_sex_only,6687408335.134284
ozone,copd,Global,2008,373166.82904796774,87963.81842874613,638860.2641082181,6.609696738806755,1.5602873987902843,11.338768180768199,116.78034196204727,27.239352483168844,198.82736823315932,373166.82904796797,2.3283064365386963e-10,6895520.284743851,point_estimate_sum_from_age_sex_only,6777597863.163186
ozone,copd,Global,2009,352861.9329867535,85303.51049722932,605117.9316217178,6.073331759621722,1.472105267599497,10.435078551599224,106.8474732514827,25.404300431421937,182.00026385107282,352861.93298675324,-2.9103830456733704e-10,6483696.218376477,point_estimate_sum_from_age_sex_only,6870903465.192087
ozone,copd,Global,2010,350288.23418774374,84007.94548543292,599834.0042430408,5.839116758594969,1.4051617923092818,10.031802676881952,102.55454862328733,24.179009402232932,176.4122605877705,350288.2341877434,-3.4924596548080444e-10,6403442.834565965,point_estimate_sum_from_age_sex_only,6963212452.614988
ozone,copd,Global,2011,353491.5390099677,83992.20620612772,609049.0038643754,5.706889527806905,1.3596029801574683,9.861448842573166,100.68848817023162,23.633055597807676,172.03585066559884,353491.5390099677,0.0,6476816.018224098,point_estimate_sum_from_age_sex_only,7051130106.451061
ozone,copd,Global,2012,350637.6647851046,82351.68484970341,599407.6909930739,5.48037937413235,1.289653021209887,9.38469400311538,96.78529396424351,22.508655500893614,164.85247121635476,350637.66478510434,-2.3283064365386963e-10,6419180.006942805,point_estimate_sum_from_age_sex_only,7139673344.797421
ozone,copd,Global,2013,348737.3976671775,79993.40255610057,589251.2170041022,5.28939916330724,1.2156891021707357,8.943339914436509,93.0233259266213,21.160876664336755,156.7151823289701,348737.3976671776,1.1641532182693481e-10,6352920.998736748,point_estimate_sum_from_age_sex_only,7230418363.915119
ozone,copd,Global,2014,344508.1343819061,78737.42303140511,582070.446233138,5.070834919323902,1.1616243032231368,8.562755004685322,88.6264420107901,20.06923247637177,148.46249139944004,344508.1343819063,2.3283064365386963e-10,6232742.413867077,point_estimate_sum_from_age_sex_only,7321445831.531868
ozone,copd,Global,2015,360118.76901400095,82874.31250786579,609810.0891898691,5.124070608828701,1.181434594173943,8.681947570904624,89.82133726076896,20.490053637556528,152.11723881091547,360118.76901400095,0.0,6514640.650512854,point_estimate_sum_from_age_sex_only,7413467598.827489
ozone,copd,Global,2016,384606.4695854927,89063.25479908747,650012.6320708494,5.311866684913115,1.2316469597620099,8.979494533334208,93.12512969965825,21.512339676425274,157.47682108771195,384606.4695854926,-5.820766091346741e-11,6949491.900936485,point_estimate_sum_from_age_sex_only,7504285123.06004
